No,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link,Accession
829,TAC1,Tachykinin Precursor 1,Protein Coding,44,GC07P097731,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC1,P20366
830,THBD,Thrombomodulin,Protein Coding,44,GC20M023026,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD,P07204
831,PPBP,Pro-Platelet Basic Protein,Protein Coding,44,GC04M073986,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPBP,P02775
832,SERPINA3,Serpin Family A Member 3,Protein Coding,44,GC14P094612,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3,P01011
833,SDC1,Syndecan 1,Protein Coding,44,GC02M020200,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC1,P18827
834,ITIH4,Inter-Alpha-Trypsin Inhibitor Heavy Chain 4,Protein Coding,43,GC03M052812,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITIH4,Q14624
835,LTA,Lymphotoxin Alpha,Protein Coding,43,GC06P055200,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA,P01374
836,DHPS,Deoxyhypusine Synthase,Protein Coding,43,GC19M013051,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHPS,P49366
837,MATR3,Matrin 3,Protein Coding,43,GC05P139274,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MATR3,P43243
838,SELL,Selectin L,Protein Coding,43,GC01M169690,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL,P14151
839,MYL1,Myosin Light Chain 1,Protein Coding,43,GC02M210290,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL1,P05976
840,NFU1,NFU1 Iron-Sulfur Cluster Scaffold,Protein Coding,43,GC02M069395,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFU1,Q9UMS0
841,IL22,Interleukin 22,Protein Coding,42,GC12M068248,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL22,Q9GZX6
842,BPI,Bactericidal Permeability Increasing Protein,Protein Coding,42,GC20P038304,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BPI,P17213
843,TRIM5,Tripartite Motif Containing 5,Protein Coding,42,GC11M005753,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM5,Q9C035
844,SP100,SP100 Nuclear Antigen,Protein Coding,42,GC02P230415,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SP100,P23497
845,PF4,Platelet Factor 4,Protein Coding,42,GC04M073980,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PF4,P02776
846,MUC5B,"Mucin 5B, Oligomeric Mucus/Gel-Forming",Protein Coding,42,GC11P001244,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5B,Q9HC84
847,FKRP,Fukutin Related Protein,Protein Coding,41,GC19P046746,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKRP,Q9H9S5
848,CCL4,C-C Motif Chemokine Ligand 4,Protein Coding,41,GC17P036103,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL4,P13236
849,KIR3DL1,"Killer Cell Immunoglobulin Like Receptor, Three Ig Domains And Long Cytoplasmic Tail 1",Protein Coding,41,GC19P056447,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIR3DL1,P43629
850,HCRT,Hypocretin Neuropeptide Precursor,Protein Coding,41,GC17M042185,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRT,O43612
851,IL15,Interleukin 15,Protein Coding,41,GC04P141636,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL15,P40933
852,GLE1,GLE1 RNA Export Mediator,Protein Coding,41,GC09P128504,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLE1,Q53GS7
853,EPO,Erythropoietin,Protein Coding,41,GC07P100720,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPO,P01588
854,ATOH7,Atonal BHLH Transcription Factor 7,Protein Coding,41,GC10M068230,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATOH7,Q8N100
855,MEGF10,Multiple EGF Like Domains 10,Protein Coding,41,GC05P127230,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEGF10,Q96KG7
856,RNASE3,Ribonuclease A Family Member 3,Protein Coding,41,GC14P020891,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASE3,P12724
857,TREM1,Triggering Receptor Expressed On Myeloid Cells 1,Protein Coding,41,GC06M041267,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM1,Q9NP99
858,TRIM63,Tripartite Motif Containing 63,Protein Coding,41,GC01M026062,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM63,Q969Q1
859,PIWIL1,Piwi Like RNA-Mediated Gene Silencing 1,Protein Coding,41,GC12P130337,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIWIL1,Q96J94
860,MYPN,Myopalladin,Protein Coding,41,GC10P068106,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYPN,Q86TC9
861,KLRK1,Killer Cell Lectin Like Receptor K1,Protein Coding,41,GC12M015686,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRK1,P26718
862,CHGB,Chromogranin B,Protein Coding,40,GC20P005911,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGB,P05060
863,ISG20,Interferon Stimulated Exonuclease Gene 20,Protein Coding,40,GC15P088635,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISG20,Q96AZ6
864,IVNS1ABP,Influenza Virus NS1A Binding Protein,Protein Coding,40,GC01M185299,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IVNS1ABP,Q9Y6Y0
865,NCR2,Natural Cytotoxicity Triggering Receptor 2,Protein Coding,40,GC06P055384,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR2,O95944
866,SLAMF1,Signaling Lymphocytic Activation Molecule Family Member 1,Protein Coding,40,GC01M160608,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLAMF1,Q13291
867,SLPI,Secretory Leukocyte Peptidase Inhibitor,Protein Coding,40,GC20M045252,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLPI,P03973
868,SERPINB1,Serpin Family B Member 1,Protein Coding,40,GC06M002833,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB1,P30740
869,SERPINA7,Serpin Family A Member 7,Protein Coding,40,GC0XM106032,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA7,P05543
870,LMOD3,Leiomodin 3,Protein Coding,39,GC03M069156,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMOD3,Q0VAK6
871,ICOSLG,Inducible T Cell Costimulator Ligand,Protein Coding,39,GC21M044222,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICOSLG,O75144
872,SLC52A3,Solute Carrier Family 52 Member 3,Protein Coding,39,GC20M000741,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC52A3,Q9NQ40
873,CCL22,C-C Motif Chemokine Ligand 22,Protein Coding,38,GC16P057359,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL22,O00626
874,NCR1,Natural Cytotoxicity Triggering Receptor 1,Protein Coding,38,GC19P054906,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCR1,O76036
875,BOLA3,BolA Family Member 3,Protein Coding,38,GC02M074136,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOLA3,Q53S33
876,TBL1X,Transducin Beta Like 1 X-Linked,Protein Coding,38,GC0XP009463,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL1X,O60907
877,PIWIL4,Piwi Like RNA-Mediated Gene Silencing 4,Protein Coding,38,GC11P094543,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIWIL4,Q7Z3Z4
878,HYDIN,HYDIN Axonemal Central Pair Apparatus Protein,Protein Coding,37,GC16M070849,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYDIN,Q4G0P3
879,DEFB4A,Defensin Beta 4A,Protein Coding,37,GC08P007895,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB4A,O15263
880,ACKR1,Atypical Chemokine Receptor 1 (Duffy Blood Group),Protein Coding,37,GC01P159203,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR1,Q16570
881,KLHL40,Kelch Like Family Member 40,Protein Coding,37,GC03P042685,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL40,Q2TBA0
882,LACTB,Lactamase Beta,Protein Coding,36,GC15P077630,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LACTB,P83111
883,TRMT10C,"TRNA Methyltransferase 10C, Mitochondrial RNase P Subunit",Protein Coding,36,GC03P101561,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT10C,Q7L0Y3
884,PAGR1,PAXIP1 Associated Glutamate Rich Protein 1,Protein Coding,34,GC16P032379,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAGR1,Q9BTK6
885,HMGXB3,HMG-Box Containing 3,Protein Coding,33,GC05P150000,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGXB3,Q12766
886,ERVW-1,"Endogenous Retrovirus Group W Member 1, Envelope",Protein Coding,33,GC07M092468,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERVW-1,Q9UQF0
887,SELENON,Selenoprotein N,Protein Coding,33,GC01P025800,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENON,Q9NZV5
888,CNST,"Consortin, Connexin Sorting Protein",Protein Coding,31,GC01P246566,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNST,Q6PJW8
889,LUZP6,Leucine Zipper Protein 6,Protein Coding,22,GC07M135927,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUZP6,Q538Z0
896,SAA2-SAA4,SAA2-SAA4 Readthrough,Protein Coding,19,GC11M018233,0.895136714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA2-SAA4,A0A096LPE2
916,CTSB,Cathepsin B,Protein Coding,51,GC08M011842,0.878248692,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB,P07858
917,KPNA2,Karyopherin Subunit Alpha 2,Protein Coding,46,GC17P068035,0.878248692,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA2,P52292
918,YWHAQ,Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta,Protein Coding,48,GC02M009583,0.867430627,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ,P27348
919,PTBP1,Polypyrimidine Tract Binding Protein 1,Protein Coding,43,GC19P000797,0.83339715,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP1,P26599
920,PIKFYVE,"Phosphoinositide Kinase, FYVE-Type Zinc Finger Containing",Protein Coding,48,GC02P208266,0.823132932,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIKFYVE,Q9Y2I7
921,TPCN2,Two Pore Segment Channel 2,Protein Coding,39,GC11P069066,0.823132932,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPCN2,Q8NHX9
922,ZC3HAV1,"Zinc Finger CCCH-Type Containing, Antiviral 1",Protein Coding,38,GC07M139044,0.823132932,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZC3HAV1,Q7Z2W4
923,LY6E,Lymphocyte Antigen 6 Family Member E,Protein Coding,40,GC08P143017,0.817268193,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LY6E,Q16553
924,NT5E,5'-Nucleotidase Ecto,Protein Coding,52,GC06P085449,0.796387911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NT5E,P21589
925,SERPINE1,Serpin Family E Member 1,Protein Coding,51,GC07P101127,0.796387911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1,P05121
926,ENTPD1,Ectonucleoside Triphosphate Diphosphohydrolase 1,Protein Coding,47,GC10P095711,0.796387911,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTPD1,P49961
927,CASP8,Caspase 8,Protein Coding,52,GC02P201233,0.755451679,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8,Q14790
928,NEFL,Neurofilament Light Chain,Protein Coding,47,GC08M024950,0.755451679,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEFL,P07196
929,SIGLEC1,Sialic Acid Binding Ig Like Lectin 1,Protein Coding,41,GC20M003686,0.755451679,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGLEC1,Q9BZZ2
930,FUT3,Fucosyltransferase 3 (Lewis Blood Group),Protein Coding,44,GC19M005843,0.751304686,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT3,P21217
931,NFE2L2,"Nuclear Factor, Erythroid 2 Like 2",Protein Coding,50,GC02M177227,0.708986938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2,Q16236
932,GC,GC Vitamin D Binding Protein,Protein Coding,44,GC04M071741,0.708986938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GC,P02774
933,KPNA1,Karyopherin Subunit Alpha 1,Protein Coding,42,GC03M122421,0.708986938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA1,P52294
934,NTNG1,Netrin G1,Protein Coding,41,GC01P107140,0.708986938,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTNG1,Q9Y2I2
935,CIITA,Class II Major Histocompatibility Complex Transactivator,Protein Coding,45,GC16P010879,0.707774997,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIITA,P33076
936,EZH2,Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit,Protein Coding,54,GC07M148807,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2,Q15910
937,TP53,Tumor Protein P53,Protein Coding,54,GC17M007661,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53,P04637
938,AXL,AXL Receptor Tyrosine Kinase,Protein Coding,52,GC19P041219,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AXL,P30530
939,CSNK2A1,Casein Kinase 2 Alpha 1,Protein Coding,52,GC20M000472,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A1,P68400
940,PSEN1,Presenilin 1,Protein Coding,52,GC14P073136,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSEN1,P49768
941,PRKAR1A,Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha,Protein Coding,52,GC17P068545,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A,P10644
942,CALR,Calreticulin,Protein Coding,51,GC19P012938,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR,P27797
943,SLC1A3,Solute Carrier Family 1 Member 3,Protein Coding,51,GC05P036620,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A3,P43003
944,CAPN1,Calpain 1,Protein Coding,50,GC11P065300,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN1,P07384
945,ABCC1,ATP Binding Cassette Subfamily C Member 1,Protein Coding,50,GC16P015949,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1,P33527
946,TPM1,Tropomyosin 1,Protein Coding,50,GC15P078910,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM1,P09493
947,STK4,Serine/Threonine Kinase 4,Protein Coding,50,GC20P044966,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK4,Q13043
948,MYH9,Myosin Heavy Chain 9,Protein Coding,50,GC22M036281,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH9,P35579
949,RAD50,RAD50 Double Strand Break Repair Protein,Protein Coding,50,GC05P132556,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD50,Q92878
950,P4HB,Prolyl 4-Hydroxylase Subunit Beta,Protein Coding,50,GC17M081843,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P4HB,P07237
951,MARK3,Microtubule Affinity Regulating Kinase 3,Protein Coding,49,GC14P103385,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK3,P27448
952,GSN,Gelsolin,Protein Coding,49,GC09P121201,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSN,P06396
953,USP7,Ubiquitin Specific Peptidase 7,Protein Coding,49,GC16M008892,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP7,Q93009
954,TFRC,Transferrin Receptor,Protein Coding,49,GC03M196027,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC,P02786
955,STIM1,Stromal Interaction Molecule 1,Protein Coding,49,GC11P003855,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STIM1,Q13586
956,GPHN,Gephyrin,Protein Coding,48,GC14P066507,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPHN,Q9NQX3
957,KEAP1,Kelch Like ECH Associated Protein 1,Protein Coding,48,GC19M010486,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEAP1,Q14145
958,GATA6,GATA Binding Protein 6,Protein Coding,48,GC18P022169,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA6,Q92908
959,ERCC3,"ERCC Excision Repair 3, TFIIH Core Complex Helicase Subunit",Protein Coding,48,GC02M127257,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC3,P19447
960,ATP7B,ATPase Copper Transporting Beta,Protein Coding,48,GC13M051930,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B,P35670
961,ALDH7A1,Aldehyde Dehydrogenase 7 Family Member A1,Protein Coding,48,GC05M126541,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH7A1,P49419
962,UBE3A,Ubiquitin Protein Ligase E3A,Protein Coding,48,GC15M025333,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE3A,Q05086
963,TXNRD1,Thioredoxin Reductase 1,Protein Coding,48,GC12P104215,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD1,Q16881
964,SPTLC2,Serine Palmitoyltransferase Long Chain Base Subunit 2,Protein Coding,48,GC14M077505,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC2,O15270
965,SMAD2,SMAD Family Member 2,Protein Coding,48,GC18M047809,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2,Q15796
966,GALNT2,Polypeptide N-Acetylgalactosaminyltransferase 2,Protein Coding,47,GC01P230057,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT2,Q10471
967,HSD17B4,Hydroxysteroid 17-Beta Dehydrogenase 4,Protein Coding,47,GC05P119452,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B4,P51659
968,FHL2,Four And A Half LIM Domains 2,Protein Coding,47,GC02M105357,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FHL2,Q14192
969,FANCD2,FA Complementation Group D2,Protein Coding,47,GC03P010026,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCD2,Q9BXW9
970,ATP6V1B2,ATPase H+ Transporting V1 Subunit B2,Protein Coding,47,GC08P020197,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1B2,P21281
971,ZBTB16,Zinc Finger And BTB Domain Containing 16,Protein Coding,47,GC11P114059,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB16,Q05516
972,STK3,Serine/Threonine Kinase 3,Protein Coding,47,GC08M098372,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK3,Q13188
973,SUCLA2,Succinate-CoA Ligase ADP-Forming Subunit Beta,Protein Coding,47,GC13M047745,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2,Q9P2R7
974,SLC27A4,Solute Carrier Family 27 Member 4,Protein Coding,47,GC09P128340,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC27A4,Q6P1M0
975,PDK1,Pyruvate Dehydrogenase Kinase 1,Protein Coding,47,GC02P172555,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDK1,Q15118
976,NME1,NME/NM23 Nucleoside Diphosphate Kinase 1,Protein Coding,47,GC17P051154,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NME1,P15531
977,LATS1,Large Tumor Suppressor Kinase 1,Protein Coding,46,GC06M149658,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS1,O95835
978,IGF2R,Insulin Like Growth Factor 2 Receptor,Protein Coding,46,GC06P159969,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2R,P11717
979,LMAN1,"Lectin, Mannose Binding 1",Protein Coding,46,GC18M059327,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMAN1,P49257
980,TCF3,Transcription Factor 3,Protein Coding,46,GC19M001609,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF3,P15923
981,STUB1,STIP1 Homology And U-Box Containing Protein 1,Protein Coding,46,GC16P005516,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STUB1,Q9UNE7
982,PLOD3,"Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 3",Protein Coding,46,GC07M101205,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD3,O60568
983,SLC19A2,Solute Carrier Family 19 Member 2,Protein Coding,46,GC01M169463,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A2,O60779
984,MYH14,Myosin Heavy Chain 14,Protein Coding,46,GC19P050192,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH14,Q7Z406
985,NNT,Nicotinamide Nucleotide Transhydrogenase,Protein Coding,46,GC05P043668,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NNT,Q13423
986,ATP6AP2,ATPase H+ Transporting Accessory Protein 2,Protein Coding,45,GC0XP040582,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6AP2,O75787
987,MARK2,Microtubule Affinity Regulating Kinase 2,Protein Coding,45,GC11P063838,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK2,Q7KZI7
988,HERC2,HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 2,Protein Coding,45,GC15M028111,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERC2,O95714
989,NKX2-5,NK2 Homeobox 5,Protein Coding,45,GC05M173232,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-5,P52952
990,FADS2,Fatty Acid Desaturase 2,Protein Coding,45,GC11P061792,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADS2,O95864
991,ATP2B4,ATPase Plasma Membrane Ca2+ Transporting 4,Protein Coding,45,GC01P203626,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B4,P23634
992,ATP2C1,ATPase Secretory Pathway Ca2+ Transporting 1,Protein Coding,45,GC03P130850,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2C1,P98194
993,ATP2B1,ATPase Plasma Membrane Ca2+ Transporting 1,Protein Coding,45,GC12M089588,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP2B1,P20020
994,B3GAT3,"Beta-1,3-Glucuronyltransferase 3",Protein Coding,45,GC11M069250,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GAT3,O94766
995,BAG3,BAG Cochaperone 3,Protein Coding,45,GC10P119651,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3,O95817
996,MYO5B,Myosin VB,Protein Coding,45,GC18M049822,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5B,Q9ULV0
997,TFG,Trafficking From ER To Golgi Regulator,Protein Coding,45,GC03P100709,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFG,Q92734
998,PLAA,Phospholipase A2 Activating Protein,Protein Coding,45,GC09M026903,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAA,Q9Y263
999,PPP2R2A,Protein Phosphatase 2 Regulatory Subunit Balpha,Protein Coding,45,GC08P026292,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP2R2A,P63151
1000,PPM1A,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1A",Protein Coding,45,GC14P060245,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1A,P35813
1001,PEX1,Peroxisomal Biogenesis Factor 1,Protein Coding,45,GC07M092487,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX1,O43933
1002,NSF,"N-Ethylmaleimide Sensitive Factor, Vesicle Fusing ATPase",Protein Coding,45,GC17P046590,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSF,P46459
1003,RAD23B,"RAD23 Homolog B, Nucleotide Excision Repair Protein",Protein Coding,45,GC09P107283,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD23B,P54727
1004,MYO5A,Myosin VA,Protein Coding,45,GC15M067802,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5A,Q9Y4I1
1005,PABPN1,Poly(A) Binding Protein Nuclear 1,Protein Coding,45,GC14P026483,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PABPN1,Q86U42
1006,SAE1,SUMO1 Activating Enzyme Subunit 1,Protein Coding,45,GC19P047115,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAE1,Q9UBE0
1007,ACAD9,Acyl-CoA Dehydrogenase Family Member 9,Protein Coding,44,GC03P131450,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD9,Q9H845
1008,ACADL,Acyl-CoA Dehydrogenase Long Chain,Protein Coding,44,GC02M210187,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADL,P28330
1009,LAP3,Leucine Aminopeptidase 3,Protein Coding,44,GC04P017578,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAP3,P28838
1010,LGALS1,Galectin 1,Protein Coding,44,GC22P037675,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS1,P09382
1011,FUT8,Fucosyltransferase 8,Protein Coding,44,GC14P065411,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT8,Q9BYC5
1012,FXR1,FMR1 Autosomal Homolog 1,Protein Coding,44,GC03P180868,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FXR1,P51114
1013,DNAJB1,DnaJ Heat Shock Protein Family (Hsp40) Member B1,Protein Coding,44,GC19M014514,0.653871179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJB1,P25685
